WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,SGR,NPHI,PEF,DTC,SP,BS,ROP,DTS,DCAL,DRHO,MUDWEIGHT,RMIC,ROPA,RXO,FORCE_2020_LITHOFACIES_LITHOLOGY,FORCE_2020_LITHOFACIES_CONFIDENCE
15/9-23,1518.28,433906.75,6460000.5,-1493.241821,HORDALAND GP.,Skade Fm.,15.506232262,,,0.8786152601,,103.4515152,,0.439925462,,147.04342651,,17.5,146.52627563,326.45126343,-1.993767977,0.1097061411,,,88.968864441,,65000,3.0
15/9-23,1518.432,433906.75,6460000.5,-1493.393799,HORDALAND GP.,Skade Fm.,18.524610519,,,0.8742365241,,94.124893188,,0.5040547252,,145.4264679,,17.5,147.60514832,322.92636108,1.0246105194,-0.006417844,,,92.287185669,,65000,3.0
15/9-23,1518.584,433906.75,6460000.5,-1493.545776,HORDALAND GP.,Skade Fm.,18.855669022,,,0.8698578477,,93.586486816,,0.5129604936,,145.29510498,,17.5,140.78312683,325.28314209,1.3556684256,0.0227690153,,,95.605499268,,65000,3.0
15/9-23,1518.736,433906.75,6460000.5,-1493.697754,HORDALAND GP.,Skade Fm.,19.163352966,,,0.8654791117,,91.113372803,,0.5000699162,,143.65759277,,17.5,125.15953064,334.23318481,1.6633529663,0.0249720886,,,98.923820496,,65000,3.0
15/9-23,1518.888,433906.75,6460000.5,-1493.849609,HORDALAND GP.,Skade Fm.,18.489744186,,0.8498489261,0.8638038635,,100.22833252,,0.2776699662,,142.83843994,,17.5,107.57669067,330.95236206,0.9897432327,0.0245267693,,,102.24214172,,65000,3.0
15/9-23,1519.04,433906.75,6460000.5,-1494.001709,HORDALAND GP.,Skade Fm.,15.919361115,,0.9298774004,0.8822996616,,97.489906311,,0.3008098602,,142.38238525,,17.5,112.97425079,316.43792725,-1.580638647,0.0190245137,,,104.17473602,,65000,3.0
15/9-23,1519.192,433906.78125,6460000.5,-1494.153687,HORDALAND GP.,Skade Fm.,13.566400528,,0.9733698964,0.9189414978,,96.966949463,,0.4041697681,,142.05361938,,17.5,123.19317627,316.38113403,-3.933600664,-0.008151131,,,102.22728729,,65000,3.0
15/9-23,1519.344,433906.78125,6460000.5,-1494.305664,HORDALAND GP.,Skade Fm.,12.201807022,,1.0208457708,0.9488009214,,105.67133331,,0.3595480323,,142.21633911,,17.5,136.22576904,319.53735352,-5.298192024,-0.029403472,,,100.27984619,,65000,3.0
15/9-23,1519.496,433906.78125,6460000.5,-1494.457642,HORDALAND GP.,Skade Fm.,12.069018364,,1.064950943,1.0156254768,,111.1204834,,0.3458330631,,144.73158264,,17.5,135.4019928,328.52062988,-5.430981636,-0.051000088,,,98.33240509,,65000,3.0
15/9-23,1519.648,433906.78125,6460000.5,-1494.609619,HORDALAND GP.,Skade Fm.,12.012268066,,1.0793032646,1.046690464,,100.8174057,,0.4212000072,,146.97541809,,17.5,114.42136383,335.69061279,-5.487731934,-0.084550701,,,96.384963989,,65000,3.0
15/9-23,1519.8,433906.78125,6460000.5,-1494.761719,HORDALAND GP.,Skade Fm.,11.999999046,,1.0849961042,1.0298098326,,103.42249298,,0.4212000072,,149.14472961,,17.5,99.856033325,341.01156616,-5.5,-0.093064129,,,94.437522888,,65000,3.0
15/9-23,1519.952,433906.78125,6460000.5,-1494.913696,HORDALAND GP.,Skade Fm.,12.033723831,,1.0762172937,0.9834487438,,138.23936462,,0.4242196381,,150.63432312,,17.5,97.736442566,341.04534912,-5.466274738,-0.080566354,,,92.490081787,,65000,3.0
15/9-23,1520.104,433906.78125,6460000.5,-1495.065674,HORDALAND GP.,Skade Fm.,12.295676231,,1.0440528393,0.9712035656,,135.84927368,,0.4467000067,,151.22698975,,17.5,103.87185669,340.12503052,-5.204324245,0.0527135432,,,91.176452637,,65000,3.0
15/9-23,1520.256,433906.78125,6460000.5,-1495.217651,HORDALAND GP.,Skade Fm.,12.564576149,,1.0080018044,0.9627218246,,129.72917175,,0.4319061935,,147.44844055,,17.5,119.82262421,332.24737549,-4.935423374,0.1768437028,,,90.155342102,,65000,3.0
15/9-23,1520.408,433906.78125,6460000.5,-1495.369629,HORDALAND GP.,Skade Fm.,13.900349617,,1.0092984438,0.9373458624,,125.00370789,,0.318469584,,145.72706604,,17.5,123.69445038,330.45144653,-3.599650621,-0.081331633,,,89.134239197,,65000,3.0
15/9-23,1520.56,433906.78125,6460000.5,-1495.521606,HORDALAND GP.,Skade Fm.,12.967181206,,1.0113812685,0.9349395633,,130.53291321,,0.3432175219,,144.00514221,,17.5,113.62941742,329.32730103,-4.532818317,-0.086063497,,,88.113136292,,65000,3.0
15/9-23,1520.712,433906.78125,6460000.5,-1495.673584,HORDALAND GP.,Skade Fm.,13.600991249,,0.9961010814,0.9443247914,,129.28790283,,0.3775530756,,145.10333252,,17.5,95.448036194,328.00946045,-3.899008989,-0.08578755,,,87.092033386,,65000,3.0
15/9-23,1520.864,433906.78125,6460000.5,-1495.825562,HORDALAND GP.,Skade Fm.,15.044693947,,1.0016201735,0.9369615316,,134.22001648,,0.3779374361,,146.7696991,,17.5,80.257774353,328.53549194,-2.455305338,-0.06913019,,,86.070930481,,65000,3.0
15/9-23,1521.016,433906.78125,6460000.5,-1495.977539,HORDALAND GP.,Skade Fm.,15.44980526,,1.0047990084,0.9370390177,,140.91636658,,0.3619989157,,145.6232605,,17.5,69.113967896,331.16204834,-2.050194502,-0.21774596,,,84.85092926,,65000,3.0
15/9-23,1521.168,433906.78125,6460000.5,-1496.129517,HORDALAND GP.,Skade Fm.,12.598901749,,1.0002412796,0.932821691,,135.88601685,,0.35526824,,143.62158203,,17.5,62.511203766,331.56451416,-4.901098251,-0.115808219,,,81.94026947,,65000,3.0
15/9-23,1521.32,433906.78125,6460000.5,-1496.281494,HORDALAND GP.,Skade Fm.,12.50753212,,1.0004782677,0.9315969944,,128.5561676,,0.3354497254,,142.31237793,,17.5,69.766304016,330.91113281,-4.992466927,-0.090620384,,,79.02961731,,65000,3.0
15/9-23,1521.472,433906.78125,6460000.5,-1496.433594,HORDALAND GP.,Skade Fm.,14.196450233,,1.0064558983,0.9256983995,,129.34242249,,0.342599988,,142.41439819,,17.5,82.209922791,323.68347168,-3.303550005,-0.087796129,,,76.11895752,,65000,3.0
15/9-23,1521.624,433906.78125,6460000.5,-1496.585571,HORDALAND GP.,Skade Fm.,18.108415604,,0.9911352992,0.9146312475,,136.89555359,,0.3462373316,,144.34967041,,17.5,88.127746582,315.69152832,0.6084160805,-0.096925929,,,73.208305359,,65000,3.0
15/9-23,1521.776,433906.78125,6460000.5,-1496.737549,HORDALAND GP.,Skade Fm.,17.947221756,,0.979718864,0.9124235511,,125.54602814,,0.391533643,,147.90042114,,17.5,89.468284607,320.87072754,0.4472224116,-0.109588452,,,70.297645569,,65000,3.0
15/9-23,1521.928,433906.8125,6460000.5,-1496.889526,HORDALAND GP.,Skade Fm.,15.311620712,,0.984521389,0.9181107283,,126.75249481,,0.4699774683,,150.94934082,,17.5,91.531837463,324.14019775,-2.188379049,-0.100931443,,,67.386993408,,65000,3.0
15/9-23,1522.08,433906.8125,6460000.5,-1497.041504,HORDALAND GP.,Skade Fm.,14.579690933,,0.9891983271,0.9211540222,,126.22253418,,0.3731101751,,149.10488892,,17.5,86.621749878,328.38299561,-2.920307875,-0.099485181,,,67.352874756,,65000,3.0
15/9-23,1522.232,433906.8125,6460000.5,-1497.193604,HORDALAND GP.,Skade Fm.,15.954389572,,0.9906237721,0.9296000004,,130.18968201,,0.3499132097,,151.15441895,,17.5,87.930038452,321.18515015,-1.545610785,-0.104092158,,,69.90763855,,65000,3.0
15/9-23,1522.384,433906.8125,6460000.5,-1497.345581,HORDALAND GP.,Skade Fm.,19.149423599,,0.9960478544,0.9305963516,,119.32852173,,0.3490506709,,152.92913818,,17.5,96.025756836,317.8097229,1.6494238377,-0.106856197,,,72.462394714,,65000,3.0
15/9-23,1522.536,433906.8125,6460000.5,-1497.497437,HORDALAND GP.,Skade Fm.,18.679367065,,1.0164891481,0.9428209662,,114.46909332,,0.3097015917,,153.77200317,,17.5,102.98574829,318.91439819,1.1793663502,-0.098348796,,,75.017158508,,65000,3.0
15/9-23,1522.688,433906.8125,6460000.5,-1497.649414,HORDALAND GP.,Skade Fm.,18.107955933,,1.023450613,0.943880856,,119.37689972,,0.323997736,,154.21554565,,17.5,106.65361023,327.42456055,1.1184784174,-0.088536195,,,77.571922302,,65000,3.0
15/9-23,1522.84,433906.8125,6460000.5,-1497.801392,HORDALAND GP.,Skade Fm.,16.772632599,,1.0162539482,0.9208850265,,120.68106842,,0.34615466,,153.76620483,,17.5,104.22734833,325.04580688,6.4552941322,-0.083738506,,,80.126678467,,65000,3.0
15/9-23,1522.992,433906.8125,6460000.5,-1497.953369,HORDALAND GP.,Skade Fm.,15.437309265,,0.9963538051,0.9115881324,,126.41568756,,0.3469462395,,153.010849,,17.5,100.17469788,315.46273804,4.9744734764,-0.082080647,,,82.681442261,,65000,3.0
15/9-23,1523.144,433906.8125,6460000.5,-1498.105469,HORDALAND GP.,Skade Fm.,14.187399864,,0.9740663767,0.8986362219,,132.11172485,,0.3464585245,,151.18307495,,17.5,94.419868469,311.05810547,-3.312599897,-0.070500001,,,85.25328064,,65000,3.0
15/9-23,1523.296,433906.8125,6460000.5,-1498.257446,HORDALAND GP.,Skade Fm.,14.054487228,,0.968094945,0.8976878524,,122.38831329,,0.3301496506,,150.0901947,,17.5,85.762153625,311.92654419,-3.445512533,-0.069843762,,,87.826072693,,65000,3.0
15/9-23,1523.448,433906.8125,6460000.5,-1498.409424,HORDALAND GP.,Skade Fm.,11.999999046,,0.9745156765,0.8977104425,,121.07632446,,0.3399937451,,149.43289185,,17.5,74.583709717,316.58511353,-5.5,-0.059700001,,,90.398864746,,65000,3.0
15/9-23,1523.6,433906.8125,6460000.5,-1498.561401,HORDALAND GP.,Skade Fm.,11.999999046,,0.9795224071,0.9011831284,,135.35612488,,0.3850141466,,147.22576904,,17.5,66.182563782,331.24667358,-5.5,-0.059700001,,,92.97164917,,65000,3.0
15/9-23,1523.752,433906.8125,6460000.5,-1498.713379,HORDALAND GP.,Skade Fm.,11.999999046,,0.9781628251,0.9025256038,,140.51119995,,0.3567297459,,147.87614441,,17.5,61.02148056,332.42047119,-5.5,-0.059625592,,,95.544441223,,65000,3.0
15/9-23,1523.904,433906.8125,6460000.5,-1498.865479,HORDALAND GP.,Skade Fm.,11.999999046,,0.9774850011,0.9013353586,,136.94863892,,0.3292219043,,150.41954041,,17.5,63.334373474,323.81787109,-5.5,-0.058049325,,,98.117233276,,65000,3.0
15/9-23,1524.056,433906.8125,6460000.5,-1499.017456,HORDALAND GP.,Skade Fm.,12.064592361,,0.9774965644,0.9040339589,,125.97125244,,0.2368000001,,152.40016174,,17.5,67.210510254,320.95941162,-5.435406685,-0.051993974,,,99.34690094,,65000,3.0
15/9-23,1524.208,433906.8125,6460000.5,-1499.169312,HORDALAND GP.,Skade Fm.,13.44793129,,0.9833910465,0.9070093036,,129.89498901,,0.2372526824,,152.32588196,,17.5,62.659866333,322.35693359,-4.05206871,-0.026071714,,,98.266105652,,65000,3.0
15/9-23,1524.36,433906.8125,6460000.5,-1499.321289,HORDALAND GP.,Skade Fm.,15.570478439,,0.9831702709,0.9134171605,,135.21116638,,0.2478526831,,151.35694885,,17.5,55.848861694,325.25695801,-1.92952168,-0.025158776,,,97.185310364,,65000,3.0
15/9-23,1524.512,433906.8125,6460000.5,-1499.473267,HORDALAND GP.,Skade Fm.,16.449028015,,0.982298553,0.9094067216,,138.81242371,,0.2698649466,,149.55807495,,17.5,53.55941391,324.1491394,-1.050971985,0.0304795094,,,96.104515076,,65000,3.0
15/9-23,1524.664,433906.84375,6460000.5,-1499.625244,HORDALAND GP.,Skade Fm.,16.018064499,,0.9771543741,0.91151613,,146.4125061,,0.2822563648,,153.8117981,,17.5,60.070175171,317.14196777,-1.481934547,0.0470744371,,,95.023719788,,65000,3.0
15/9-23,1524.816,433906.84375,6460000.5,-1499.777344,HORDALAND GP.,Skade Fm.,15.549804688,,0.9694870114,0.8986307383,,150.11643982,,0.2499857843,,153.06892395,,17.5,57.722938538,314.83285522,-1.950195789,0.0492393449,,,93.9429245,,65000,3.0
15/9-23,1524.968,433906.84375,6460000.5,-1499.929321,HORDALAND GP.,Skade Fm.,15.725000381,,0.9344039559,0.8885509968,,138.97702026,,0.3258162141,,152.65338135,,17.33246994,51.428771973,313.02355957,-1.607470393,0.0562201813,,,92.862129211,,65000,3.0
15/9-23,1525.12,433906.84375,6460000.5,-1500.081299,HORDALAND GP.,Skade Fm.,15.894901276,,0.9958584309,0.9010135531,,122.11302185,,0.4960440397,,149.85424805,,12.250000954,43.013820648,315.16891479,3.6449000835,0.0628999993,,,93.541954041,,65000,3.0
15/9-23,1525.272,433906.84375,6460000.5,-1500.233276,HORDALAND GP.,Skade Fm.,15.921275139,,1.0166449547,0.9614462852,,105.73413086,,0.490004003,,149.5745697,,12.250000954,38.106243134,313.15206909,3.6712741852,0.0633126348,,,94.69127655,,65000,3.0
15/9-23,1525.424,433906.84375,6460000.5,-1500.385254,HORDALAND GP.,Skade Fm.,16.885599136,,0.9664914012,0.939710021,,107.22285461,,0.4613966644,,150.96025085,,12.250000954,34.047992706,307.28393555,4.6355991364,0.0787773654,,,95.84059906,,65000,3.0
15/9-23,1525.576,433906.84375,6460000.5,-1500.537354,HORDALAND GP.,Skade Fm.,16.859510422,,0.9419316649,0.879648447,,115.55319214,,0.4815194607,,149.36187744,,12.250000954,105.73493958,307.56643677,4.6095099449,0.0942302719,,,96.98992157,,65000,3.0
15/9-23,1525.728,433906.84375,6460000.5,-1500.689331,HORDALAND GP.,Skade Fm.,15.6612463,,0.9343351722,0.8634009957,,122.29150391,,0.4919274151,,147.75663757,,12.250000954,92.632514954,310.86608887,3.4112474918,0.1093638316,,,98.13924408,,65000,3.0
15/9-23,1525.88,433906.84375,6460000.5,-1500.841309,HORDALAND GP.,Skade Fm.,15.657603264,,0.9409624934,0.858322382,,107.52383423,,0.5090287328,,147.72950745,,12.250000954,92.00806427,319.80819702,3.4076030254,0.1074712127,,,99.288566589,,65000,3.0
15/9-23,1526.032,433906.84375,6460000.5,-1500.993164,HORDALAND GP.,Skade Fm.,15.280337334,,0.9200476408,0.8599443436,,114.64255524,,0.5224672556,,146.59484863,,12.250000954,105.31665802,329.06396484,3.0303366184,0.1060307994,,,101.65157318,,65000,3.0
15/9-23,1526.184,433906.84375,6460000.5,-1501.145142,HORDALAND GP.,Skade Fm.,15.122897148,,0.909088254,0.8772799969,,119.38539124,,0.4775200784,,146.3054657,,12.250000954,104.8391037,329.57012939,2.8728966713,0.1298491359,,,108.56585693,,65000,3.0
